text_a,text_b,label
"The Alpha Guest Accommodation, King Edward Avenue, 9 BLACKPOOL, North West, FY29TD","Deneley Hotel, 15, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TA",0
"The Golden Cheval Hotel, 203 Central Promenade Blackpool, North West, FY15DL","Balmoral Hotel, 215-217, Promenade, Blackpool, North West, FY15DL",0
"Grand Plaza Serviced Apartments, 42 Princes Square Bayswater London, Westminster, W24AD","The 55 By Le Mirage, 33-36, Prince's Square, London, Westminster, W24NJ",0
"Fairhaven Hotel, 19 Meadow Road BeestonNottinghamNottinghamshire, Broxtowe, East Midlands, NG91JP","Fairhaven, 19, Meadow Road, Nottingham, Broxtowe, East Midlands, NG91JP",1
"The Grange Manor, Glensburgh Grangemouth, Falkirk, FK38XJ","The Grange Manor, Glensburgh Road, Falkirk, FK38XJ",1
"Radisson Blu Hotel Bristol, Broad Quay Bristol & West House Bristol, Bristol, City of, South West, BS14BY","Bristol Marriott Royal Hotel, College Green, Bristol, , GB, Bristol, City of, South West, BS15TA",0
"The Claremont, 89 St. Michael's Road  Bournemouth, Bournemouth, Christchurch and Poole, South West, BH25DR","The Manchester Hotel, 56, Saint Michael's Road, Bournemouth, Christchurch and Poole, South West, BH25EB",0
"Crowne Plaza Stratford Upon Avon, Bridgefoot Stratford Upon Avon, Stratford-on-Avon, West Midlands, CV376YR","Crowne Plaza, Bridgefoot, Stratford-Upon-Avon, Stratford-on-Avon, West Midlands, CV376YR",1
"Morgans on the prom, 375 The Promenade Blackpool Lancashire, North West, FY16BQ","St Albans, 355, Promenade, Blackpool, , United Kingdom, North West, FY16BJ",0
"The Edgemoor Country House Hotel And Restaurant, Haytor Road Bovey TraceySouth Devon, Teignbridge, South West, TQ139LE","Edgemoor Hotel, Haytor Road, Bovey Tracey, , United Kingdom, Teignbridge, South West, TQ139LE",1
"Chrysos Hotel, 25-27 Norfolk Square  London, Westminster, W21RX","Belvedere Hotel, 52-54, Norfolk Square, London, , GB, Westminster, W21RT",0
"Heatherlie House Hotel, 5 Heatherlie Park Selkirk, Scottish Borders, TD75AL","Heatherlie House Hotel, 5, Heatherlie Park, Selkirk, Scottish Borders, TD75AL",1
"Wynford Hotel, Clare Street  Cardiff, CF116BD","Wynford Hotel, 1-15, Clare Street, Cardiff, CF116BD",1
"North Beach Apartments, 184 The Promenade Blackpool, North West, FY11RJ","Britannia Grand Metropole Hotel, Promenade, Blackpool, North West, FY11RQ",0
"The Address, 91-93 Reeds Avenue Blackpool, North West, FY14DG","Norwood Hotel, 50-52, Read's Avenue, Blackpool, , United Kingdom, North West, FY14DE",0
"Adria House, 11 Royal Terrace Edinburgh, City of Edinburgh, EH75AB","24 Royal Terrace, 24, Royal Terrace, Edinburgh, , United Kingdom, City of Edinburgh, EH75AH",0
"Victoria House Hotel, 29 30 George St Oxford, South East, OX12AY","George Oxford Hotel, 29-30, George Street, Oxford, , United Kingdom, South East, OX12AY",1
"Harrington House, Sherborne Street Bourton-on-the-Water Bourton On The WaterCheltenhamGloucestershire, Cotswold, South West, GL542BY","HF Holidays Harrington House, Sherbourne Street, Cheltenham, , GB, Cotswold, South West, GL542BY",1
"Clifton Court Hotel, 12 Clifton Drive Blackpool, FY41XN","Clifton Court Hotel, 12, Clifton Drive, Blackpool, , United Kingdom, North West, FY41NX",1
"Edinburghhouse Hotel, 90-92 Pilrig Street EdinburghMidlothian, City of Edinburgh, EH65AY","Edinburgh House Hotel, 90-92, Pilrig Street, Edinburgh, , United Kingdom, City of Edinburgh, EH65AY",1
"Jade Apartments, 10 Clifton Drive Lancashire, Blackpool, North West, FY41NX","The Stuart Hotel, 27-29, Clifton Drive, Blackpool, , United Kingdom, North West, FY41NT",0
"The Malibu Party Hotel, 114-116 Albert Road Blackpool, nan","The Belvedere, 91-93, Albert Road, Blackpool, , United Kingdom, North West, FY14PW",0
"Best Western Burns Hotel Kensington, 18-26 Barkston Gardens KensingtonLondon, Kensington and Chelsea, SW50EN","Merlyn Court Hotel, 2, Barkston Gardens",0
"Sidney Hotel London Victoria, 68 76 Belgrave Road Victoria VictoriaLondon, Westminster, SW1V2BP","The Park Hotel, 64, Belgrave Road, London, , United Kingdom, Westminster, SW1V2BP",0
"Martins, 26 King Edward Avenue ; 26 King Edward Avenue ;, Blackpool, North West, FY29TA","The Pembroke, 11, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TD",0
"Tuddenham Mill Luxury Boutique Hotel, High Street Tuddenham. TuddenhamNewmarketSuffolk, West Suffolk, East of England, IP286SQ","Tuddenham Mill, High Street, West Suffolk, East of England, IP286SQ",1
"The Grand Hotel, Seafront TorquayDevon, Torbay, South West, TQ26NT","The Grand Hotel, Torquay, Torbay, South West, TQ26NT",1
"The Aspire, 51 Albert Road Blackpool, North West, FY14TA","La Tour, 92-94, Albert Road, Blackpool, , United Kingdom, North West, FY14PR",0
"Esplanade Hotel, 27-29 Marine Parade East Clacton on Sea, Tendring, East of England, CO151UU","The Ocean Hotel, 5, Marine Parade East, Clacton-on-Sea, Tendring, East of England, CO151PS",0
"Dorchester House, 17 Southey Street, Cumberland, North West, CA124EG","Goodwin House, 29, Southey Street, Keswick, , United Kingdom, Cumberland, North West, CA124EE",0
"Earlsway Hotel, 205 Central Promenade Blackpool, North West, FY15DL","Royal Seabank Hotel, 219-223, Promenade, Blackpool, North West, FY15DL",0
"Number 17 Bath, 17 Pulteney Road Bath, Bath and North East Somerset, South West, BA24EZ","The Ayrlington, Bath and North East Somerset, South West, BA24EZ",0
"Balmoral Hotel, High Street MoffatDumfriesshire, Dumfries and Galloway, DG109DL","The Balmoral Hotel & Restaurant, High Street, Dumfries and Galloway, DG109DL",1
"James' Place at Dowlais, 84 High Street Caeharris Dowlais Cae HarrisMerthyr Tydfil, CF483HB","James' Place @ Dowlais, 84, High Street, Pant, , United Kingdom, Merthyr Tydfil, CF483HB",1
"Premier Inn Cambridge City Centre, Newmarket Road Cambridge Cambridge, East of England, CB13EP","Travelodge Cambridge Newmarket Road, 180-190, Newmarket Road, Cambridge, East of England, CB58HE",0
"Barnsdale Lodge, The Avenue ExtonOakhamRutland, East Midlands, LE158AH","Barnsdale Lodge, The Avenue, Oakham, , GB, Rutland, East Midlands, LE158AH",1
"Whitminster Inn, Bristol Road GloucesterEngland, Stroud, South West, GL27NY","Whitminster Inn, Bristol Road, Gloucester, , United Kingdom, Stroud, South West, GL27NY",1
"The St Ives, West Bay DunoonArgyll, Argyll and Bute, PA237HU","Milton Tower Hotel, 62, Victoria Parade, Dunoon, , GB, Argyll and Bute, PA237HU",0
"Columbia, 95-99 Lancaster Gate  London, Westminster, W23NS","Columbia Hotel, 95-99, Lancaster Gate, London",1
"The Darlington Hyde Park, 111 117 Sussex Gardens Paddington Paddingto London, NW22RU","The Castleton Hotel, 164-166, Sussex Gardens, London",0
"Stonar Guest house, 19 Agate Road Clacton on Sea, Tendring, East of England, CO151RA","Stonar Hotel, 19, Agate Road, Clacton-on-Sea, Tendring, East of England, CO151RA",1
"The Strand Lodge, 5-6 Wilton Parade Blackpool, North West, FY12HE","The Strand Lodge, 5, Wilton Parade, Blackpool, , United Kingdom, North West, FY12HE",1
"Luna And Simone Hotel, 47 49 Belgrave Rd Victoria London, Westminster, SW1V2BB","Lidos Hotel, 45, Belgrave Road, London, , United Kingdom, Westminster, SW1V2BB",0
"Sidney Hotel London Victoria, 68 76 Belgrave Road Victoria VictoriaLondon, Westminster, SW1V2BP","Lidos Hotel, 45, Belgrave Road, London, , United Kingdom, Westminster, SW1V2BB",0
"Cadeby Lodge, 89 Hornby Road Blackpool, North West, FY14QP","The Beechfield, 106-110, Hornby Road, Blackpool, , United Kingdom, North West, FY14QS",0
"Bedruthan Hotel and Spa, Mawgan Porth Cornwall, South West, TR84BU","Bedruthen Steps Hotel, Mawgan Porth, Cornwall, South West, TR84BU",1
"Brooklands Over 50's Only, 28/30 King Edward Avenue Blackpool, North West, FY29TA","The Alpha, 9, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TD",0
"Crown Hotel, 9 North Crescent Portpatrick PortpatrickWigtownshire, Dumfries and Galloway, DG98SX","Crown Hotel, 9, North Crescent, Portpatrick, Dumfries and Galloway, DG98SX",1
"Novotel London Blackfriars, 46 Blackfriars Road London, Southwark, SE18NZ","Novotel London Blackfriars, 46, Blackfriars Road, London, Southwark, SE18NZ",1
"Twelve Apartments, 12 King Edward Avenue, Blackpool, North West, FY29TD","Fairmont Hotel, 40, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TA",0
"Adelaide Lodge, 100 Adelaide Street Blackpool, North West, FY14LA","OYO Gresham Hotel, 106-114, Adelaide Street, Blackpool, , United Kingdom, North West, FY14LE",0
"The Carlton, 64 Albert Road Blackpool, North West, FY14PR","Calypso Hotel, 39-41, Albert Road, Blackpool, North West, FY14TA",0
"Sweet Afton Hotel, 111 Albert road  Blackpool, North West, FY14PW","The Sutcliffe Hotel, 70-72, Albert Road, Blackpool, , United Kingdom, North West, FY14PR",0
"Ruskin Hotel, 55-61 Albert Road Blackpool, North West, FY14PW","Fern Villa Hotel, 73, Albert Road, Blackpool, , United Kingdom, North West, FY14PW",1
"Premier Inn Northwich Sandiway, 520 Chester Road Sandiway  Northwich Cheshire SandiwayNorthwich, Cheshire West and Chester, North West, CW82DN","Premier Inn, 520, Chester Road, Northwich, Cheshire West and Chester, North West, CW82DN",1
"The Belvedere, 91-93 Albert Road  Blackpool, North West, FY14PW","The Belvedere, 91-93, Albert Road, Blackpool, , United Kingdom, North West, FY14PW",1
"Culzean House Glen Finart, Argyll and Bute, PA238TT","Culzean House, Ardentinny, Argyll and Bute, PA238TT",1
"Artist Residence London, 52 Cambridge Street Pimlico London, Westminster, SW1V4QQ","Artist Residence, 52, Cambridge Street, London, , GB, Westminster, SW1V4QQ",1
"Beachcliffe Holiday Apartments, 3 King Edward Avenue Blackpool, North West, FY29TD","Number 42, 42, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TA",0
"North Hill Hotel, North Hill 51  Colchester, East of England, CO11PY","The North Hill Hotel, 51, North Hill, Colchester, , United Kingdom, East of England, CO11PY",1
"The Glove House, 24 Oxford Street Woodstock, West Oxfordshire, South East, OX201TS","The Marlborough Arms, 26, Oxford Street, Woodstock, , United Kingdom, West Oxfordshire, South East, OX201TS",1
"Kirkview Guest House, 26 Palatine Road Blackpool, North West, FY14BT","Lyndale Holiday Flats, 40, Palatine Road, Blackpool, , United Kingdom, North West, FY14BY",0
"Crockstead Farm Hotel, Eastbourne Road LewesHallandEast Sussex, Wealden, South East, BN86PT","Crockstead Farm Hotel, Eastbourne Road, Halland, Wealden, South East, BN86PT",1
"Anglesey House, 21 Church Walk Llandudno, Conwy, LL302HG","Chelsea Hotel, 67, Church Walks, Llandudno, , GB, Conwy, LL302HG",0
"Munro Guest House, 14 Princes Street Stirling, FK81HQ","Munro Guest House, 14, Princes Street, Stirling, FK81HQ",1
"The Royal Albion, 6-12 Albion Street Broadstairs, Thanet, South East, CT101AN","Royal Albion Hotel, 12, Albion Street, Broadstairs, Kent, , GB, Thanet, South East, CT101AN",1
"Travelodge Billingshurst Five Oaks, A29 Stane Street Five OaksBillingshurst West Sussex, Horsham, South East, RH149AE","Travelodge, Stane Street, Billingshurst, , GB, Horsham, South East, RH149AE",1
"8 West Coast, Flat 8 West Coast Beacon Road, Bournemouth, Christchurch and Poole, South West, BH25ER","Beacon Hotel, Beacon Road, Bournemouth, Christchurch and Poole, South West, BH25DB",0
"Travelodge Bristol Mitchell Lane, Mitchell Lane Bristol, Bristol, City of, South West, BS16BU","Travelodge, Mitchell Lane, Bristol, Bristol, City of, South West, BS16BU",1
"The Nayland, 132-134 Sussex Gardens London, Westminster, W21UB","Orchard Hotel, 86-90, Sussex Gardens, London, Westminster, W21UH",0
"ibis Birmingham Centre Irving Street, 55 Irving Street Birmingham, West Midlands, B11DH","Ibis (Rooms), 55, Irving Street, Birmingham, West Midlands, B11DH",1
"Best Western Valley Hotel, Buildwas Road, Iron Bridge Ironbridge Ironbridge Telford, Telford and Wrekin, West Midlands, TF87DW","Best Western Valley Hotel, Buildwas Road, Telford, , GB, Telford and Wrekin, West Midlands, TF87DW",1
"Tigh na Sgiath Country House Hotel, SKYE OF CURR ROAD GRANTOWN ON SPEY, INVERNESS, Highland, PH263PA","Tigh na Sgiath, Skye of Curr Road, Dulnain Bridge, , United Kingdom, Highland, PH263PA",1
"Apartment In Brighton With Sea View, Regency Square, Brighton and Hove, South East, BN12FJ","Artist Residence, 33, Regency Square, Brighton and Hove, South East, BN12GG",0
"Best Western Bradford Guide Post Hotel, Common Road Low Moor Low MoorBradford, Yorkshire and The Humber, BD120ST","The Guide Post Hotel, Common Road, Bradford, , GB, Yorkshire and The Humber, BD120ST",0
"Troy Hotel, 68-70 Queensborough Terrace Bayswater London, Westminster, W23SH","Apollo Hotel, 64-66, Queensborough Terrace",0
"Country Living Hotel Lansdown Grove Bath, Lansdown Road Bath, Bath and North East Somerset, South West, BA15EH","The Lansdown Grove Hotel, Lansdown Road, , GB, Bath and North East Somerset, South West, BA15EH",1
"Hotel 52; Sure Hotel Collection by Best Western, 52 South Parade, Whitley Bay, , United Kingdom, North Tyneside, North East, NE262RQ","Hotel 52, 52, South Parade, Whitley Bay, , GB, North Tyneside, North East, NE262RQ",1
"The Darlington Hyde Park, 111 117 Sussex Gardens Paddington Paddingto London, NW22RU","The Gresham Hotel, 116, Sussex Gardens, London, Westminster, W21UA",0
"Avon Hotel, 50 Norfolk Square Hyde ParkLondon, Westminster, W21RT","Continental Hotel, 36-42, Norfolk Square, London, , GB, Westminster, W21RT",0
"Sorrento House, 83 Coronation Street Blackpool, North West, FY14PD","The New Avalon, 112, Coronation Street, Blackpool, , United Kingdom, North West, FY14QQ",0
"Bradleys Hotel, 80 Albert Road Blackpool, North West, FY14PR","The Avon Hotel, 112, Albert Road, Blackpool, , United Kingdom, North West, FY14PN",0
"Jewel Rooms, 148 Crown Street, Aberdeen City, AB116HS","The Brentwood Hotel Oyo, 101, Crown Street, Aberdeen, , United Kingdom, Aberdeen City, AB116HH",0
"Peckforton Castle, Stone House Lane TARPORLEY, Cheshire East, North West, CW69TN","Peckforton Castle, Stone House Lane, , United Kingdom, Cheshire East, North West, CW69TN",1
"Sharn-Bek Hotel, 24 Alexandra Road Blackpool, North West, FY16BU","The New Brooklyn, Alexandra Road, Blackpool, , United Kingdom, North West, FY16BH",0
"Best Western Royal Clifton Hotel & Spa, The Promenade Southport SouthportLiverpool CoastMerseyside, Sefton, North West, PR81RB","Royal Clifton Hotel And Spa, The Promenade, Southport, , United Kingdom, Sefton, North West, PR81RB",0
"Cross Keys Hotel, Main Street Canonbie CanonbieDumfriesshire, Dumfries and Galloway, DG140SY","Cross Keys Hotel, B7201, Canonbie, , United Kingdom, Dumfries and Galloway, DG140SY",1
"Premier Inn Basildon, Rayleigh Weir Arterial Road Rayleigh WeirBasildon Essex, Rochford, East of England, SS67SP","Premier Inn, Arterial Road, Rayleigh, Rochford, East of England, SS67SP",1
"Dial House Hotel, 62 Dukes Ride CrowthorneBerkshire, Bracknell Forest, South East, RG456DL","Dial House Hotel, 62, Duke's Ride, Crowthorne, , GB, Bracknell Forest, South East, RG456DL",1
"The Royal Hotel Clacton On Sea, 1 Marine Parade East Clacton-on-Sea, Tendring, East of England, CO151PU","Pacific Hotel, 7-9, Marine Parade East, Clacton-on-Sea, Tendring, East of England, CO151PS",0
"Albert Hotel, 117 Albert Road Blackpool, North West, FY14PW","Lumada, 100, Albert Road, Blackpool, , United Kingdom, North West, FY14PR",0
"Fairhaven Christian Hotel, 3 Craig Y Don Parade, Conwy, LL301BG","Bromwell Court Hotel, 6, Craig Y Don Parade, Llandudno, , GB, Conwy, LL301BG",0
"Hampton Hotel, 14 Corstorphine Road EdinburghMidlothian, City of Edinburgh, EH126HN","Hampton Hotel, 14, Corstorphine Road, Edinburgh, , United Kingdom, City of Edinburgh, EH126HN",1
"The Old Manse Hotel, 19 Middleton Road Pickering North Yorkshire, Yorkshire and The Humber, YO188AL","The Old Manse, 19, Middleton Road, Pickering, , United Kingdom, North Yorkshire, Yorkshire and The Humber, YO188AL",1
"Bromwell Court, 6 Craig-Y-Don Parade Llandudno Conwy, LL301BG","Bromwell Court Hotel, 6, Craig Y Don Parade, Llandudno, , GB, Conwy, LL301BG",1
"Park Inn by Radisson Manchester City Centre, Cheetham Hill Road Manchester, North West, M44EW","Park Inn by Radisson Manchester City Centre, 4, Cheetham Hill Road, Manchester, North West, M44EW",1
"The Mandrake Hotel, 20-21 Newman Street London, Westminster, W1T1PG","The Mandrake Hotel, 20-21, Newman Street, London, Westminster, W1T1PF",1
"Best Western Ipswich Hotel, Old London Road Copdock CopdockIpswichSuffolk, Babergh, East of England, IP83JD","Ipswich Hotel, Old London Road, Ipswich, , GB, Babergh, East of England, IP83JD",1
"The Last Post, 14 Trafalgar Road Blackpool, North West, FY16AW","Garvey's Promenade Hotel, Trafalgar Road, Blackpool, , United Kingdom, North West, FY16AJ",0
"Rathbone, 30 Rathbone Street West End  London, Westminster, W1T1LB","Rathbone Hotel, 30, Rathbone Street, London, Westminster, W1T1LB",1
"Premier Inn Ipswich, Old Hadleigh Road  Ipswich, Babergh, East of England, IP83AR","Premier Inn, Hadleigh Road, Ipswich, , GB, Babergh, East of England, IP83AR",1
"Rawcliffe Holiday Lets, 69 Hornby Road, Blackpool, North West, FY14QJ","The Residence, 99-101, Hornby Road, Blackpool, , United Kingdom, North West, FY14QP",0
"Holiday Inn Express London Victoria, 106 110 Belgrave Road London, Westminster, SW1V2BJ","Victor Hotel, 51, Belgrave Road, London, , United Kingdom, Westminster, SW1V2BP",0
"The Royal Seabank Hotel, 219-223 Central Promenade BlackpoolLancashire, North West, FY15DL","Blenheim Mount, 207, Promenade, Blackpool, North West, FY15DL",0
"Royal Windsor Holiday Apartments, Trafalgar Road 12, Blackpool, North West, FY16AW","Wembley Hotel, Trafalgar Road, Blackpool, , United Kingdom, North West, FY16AJ",0
"Hotel Una, 55/56 Regency Square Brighton, Brighton and Hove, South East, BN12FF","Hotel Pelirocco, 10, Regency Square, Brighton and Hove, South East, BN12FG",0
"The White House Manor, New Road PrestburyCheshire, Cheshire East, North West, SK104HP","The White House Manor Hotel, New Road, Prestbury, Cheshire East, North West, SK104HP",1
"Ocean Bay Hotel, 583 New South Promenade  Blackpool, North West, FY41NG","Waldorf Hotel, 591-593, New South Promenade, Blackpool, North West, FY41NG",0
"Craigard House Hotel, Low Askomil CampbeltownArgyll, Argyll and Bute, PA286EP","Craiguard House Hotel, High Askomill, Campbeltown, Argyll and Bute, PA286EP",1
"The Hand Hotel, Bridge Street Llangollen, Denbighshire, LL208PL","The Hand Hotel, Bridge Street, Llangollen, , GB, Denbighshire, LL208PL",1
"The Golden Cheval Hotel, 203 Central Promenade Blackpool, North West, FY15DL","Craig-y-Don Hotel, 209-213, Promenade, Blackpool, North West, FY15DL",0
"The Windsor Hotel, 21 King Edward Avenue North Shore Blackpool, North West, FY29TA","Northcrest, 22, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TD",0
"WISHING WELL GUEST HOUSE, 34 Woodfield Road Blackpool, FY16AZ","The Art Break Hotel, 14-16, Woodfield Road, Blackpool, , United Kingdom, North West, FY16AX",0
"Henson Hotel, 23 Clifton Drive Blackpool, North West, FY41NT","Scala Hotel, 22, Clifton Drive, Blackpool, , United Kingdom, North West, FY41NX",0
"Baxter Holiday Apartments, 37 Charnley Road, Blackpool, North West, FY14PE","Charnley Gold, 38, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",0
"Heather Lea, 34 Empress Drive Blackpool, North West, FY29SD","The Rowan, 8, Empress Drive, Blackpool, , United Kingdom, North West, FY29SE",0
"Siskin, 18 Southey Street, Cumberland, North West, CA124EF","Goodwin House, 29, Southey Street, Keswick, , United Kingdom, Cumberland, North West, CA124EE",0
"Kingsway, 68 Charnley Road Blackpool Lancashire, North West, FY14PF","The Lismain Hotel, 3, Charnley Road, Blackpool, , United Kingdom, North West, FY14PE",0
"Holiday Inn London Kensington Forum, 97 Cromwell Road London, SW74DN","Holiday Inn Kensington Forum, 97, Cromwell Road, London, , GB, SW74DN",1
"The Cross at Kingussie, Tweedmill Brae, Ardbroilach Road Kingussie, Highland, PH211LB","The Cross at Kingussie, Tweed Mill Brae, Kingussie, , United Kingdom, Highland, PH211LB",1
"Heron View Cottage, 4 Field Footgrasmere, Westmorland and Furness, North West, LA229TB","Grasmere Hotel, Broadgate, Grasmere, Westmorland and Furness, North West, LA229TA",0
"Hampton by Hilton Stansted Airport, Bassingbourn Road Stansted, Uttlesford, East of England, CM241QW","Hampton by Hilton London Stansted Airport, Bassingbourn Road, Stansted, Uttlesford, East of England, CM241QW",1
"Queensway Hotel - Sure Hotel Collection by Best Western, 147-149 Sussex Gardens Hyde ParkLondon, Westminster, W22RY","KingswayPark Hotel at Park Avenue, 139, Sussex Gardens, London, Westminster, W22RX",0
"Wildings Hotel, 14 North Parade Llandudno, Conwy, LL302LP","Milverton Hotel, 3, North Parade, Llandudno, , GB, Conwy, LL302LP",0
"Donington Manor Hotel, High Street Castle Donington Castle Donington, North West Leicestershire, East Midlands, DE742PP","Donington Manor Hotel, High Street, Derby, North West Leicestershire, East Midlands, DE742PP",1
"Abbot s Fireside, High Street Elham ElhamCanterburyKent, Folkestone and Hythe, South East, CT46TD","Abbot's Fireside Hotel, High Street, Elham, , United Kingdom, Folkestone and Hythe, South East, CT46TD",1
"Forest house hotel, 70 Green Lanes Palmers Green Wood GreenLondon, Enfield, N136BE","Forest House, 70, Green Lanes, London, Enfield, N136BE",1
"The Gretna Chase Hotel, Gretna GretnaDumfriesshire, Cumberland, North West, DG165JB","Gretna Chase Hotel, Gretna, Cumberland, North West, DG165JB",1
"Queensway Hotel - Sure Hotel Collection by Best Western, 147-149 Sussex Gardens Hyde ParkLondon, Westminster, W22RY","Admiral Hotel at Park Avenue, 143, Sussex Gardens, London, Westminster, W22RY",0
"Melvill Guest House, 52 Melvill Road Falmouth Cornwall, South West, TR114DQ","Cotswold House, 49, Melvill Road, Cornwall, South West, TR114DF",0
"The Oakland Guest House, 61 Holmfield Road Blackpool, North West, FY29RU","Mayfield, 27, Holmfield Road, Blackpool, , United Kingdom, North West, FY29TB",0
"Jade Apartments, 10 Clifton Drive Lancashire, Blackpool, North West, FY41NX","Henson Hotel, 23, Clifton Drive, Blackpool, , United Kingdom, North West, FY41NT",0
"Beverley City, 142 Sussex Gardens London, Westminster, W21UB","Pacific Hotel, 108, Sussex Gardens, London, Westminster, W21UA",0
"3 Norfolk Square Guest house, Albemarle Road Great YarmouthNorfolk, East of England, NR301EE","Barons Court Hotel, 5, Norfolk Square, Great Yarmouth, East of England, NR301EE",0
"The Royal Foresters, London Road Ascot, Bracknell Forest, South East, SL58DR","The Royal Foresters Hotel, London Road, Ascot, Bracknell Forest, South East, SL58DR",1
"Best Western The Connaught Hotel, 44-50 Tettenhall Road, Wolverhampton, West Midlands, WV14SW","Quality Hotel, 40-50, Tettenhall Road, Wolverhampton, West Midlands, WV14SW",1
"The Bedford Hotel, Esplanade Sidmouth Devon, East Devon, South West, EX108NR","Bedford Hotel, The Esplanade, Sidmouth, , United Kingdom, East Devon, South West, EX108NR",1
"Hotel 52; Sure Hotel Collection by Best Western, 52 South Parade, Whitley Bay, , United Kingdom, North Tyneside, North East, NE262RQ","Hotel 52, 52, South Parade, Whitley Bay, , GB, North Tyneside, North East, NE262RQ",1
"Premier Inn London Richmond, 136-138 Lower Mortlake Road RichmondLondon, Richmond upon Thames, TW92JZ","Premier Inn, 136-138, Lower Mortlake Road, Richmond, Richmond upon Thames, London, TW92JZ",1
"The Scala, 22 Clifton Drive Blackpool, North West, FY41NX","Clifton Court Hotel, 12, Clifton Drive, Blackpool, , United Kingdom, North West, FY41NX",1
"Tigh na Sgiath Country House Hotel, SKYE OF CURR ROAD GRANTOWN ON SPEY, INVERNESS, Highland, PH263PA","Tigh na Sgiath, Skye of Curr Road, Dulnain Bridge, , United Kingdom, Highland, PH263PA",1
"Beachcliffe Holiday Apartments, 3 King Edward Avenue Blackpool, North West, FY29TD","The Berwick, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TA",0
"Maldron Hotel Newcastle, Newgate Street Newcastle Upon Tyne, North East, NE15RE","Maldron Hotel Newcastle, 17, Newgate Street, Newcastle upon Tyne, North East, NE15RE",1
"The Roseate Edinburgh, West Coates, 4 EDINBURGH, City of Edinburgh, EH125JQ","Roseate, 4, West Coates, Edinburgh, , GB, City of Edinburgh, EH125JQ",1
