original_address,lat,long,formatted,name,housenumber,street,district,postcode,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
"The InterContinental Edinburgh - The George, 19-21, George Street, Edinburgh, City of Edinburgh, EH22PB",55.9541356,-3.196414909,"The InterContinental Edinburgh - The George, 19-21 George Street, City of Edinburgh, EH2 2PB, United Kingdom",The InterContinental Edinburgh - The George,19-21,George Street,,EH2 2PB,New Town,City of Edinburgh,,,Scotland,SCT,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Premier Inn, Kingsway North, Gateshead, North East, NE110NU",54.973169,-1.618044,"Premier Inn, 95 Newgate Street, Newcastle upon Tyne, NE11 0NU, United Kingdom",Premier Inn,95,Newgate Street,,NE11 0NU,,Newcastle upon Tyne,Newcastle upon Tyne,NET,England,ENG,United Kingdom,gb,0.567,1,0.567,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Mercure Nottingham Sherwood Hotel, 296, Mansfield Road, Nottingham, East Midlands, NG52BT",52.9700375,-1.153062597,"Mercure Nottingham Sherwood Hotel, 296 Mansfield Road, Nottingham, NG5 2BT, United Kingdom",Mercure Nottingham Sherwood Hotel,296,Mansfield Road,,NG5 2BT,Carrington,Nottingham,East Midlands,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Haylie Hotel, 138, Irvine Road, Largs, , GB, North Ayrshire, KA308EY",55.78542825,-4.858638992,"Haylie Hotel, 138 Irvine Road, Largs, KA30 8EY, United Kingdom",Haylie Hotel,138,Irvine Road,,KA30 8EY,,Largs,North Ayrshire,NAY,Scotland,SCT,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Cathedral Quarter Hotel, 16, Saint Mary's Gate, Derby, East Midlands, DE13JR",52.9246388,-1.479890889,"Cathedral Quarter Hotel, 16 Saint Mary's Gate, Derby, DE1 3JR, United Kingdom",Cathedral Quarter Hotel,16,Saint Mary's Gate,Cathedral Quarter,DE1 3JR,Little Chester,Derby,Derby,DER,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Travelodge Birmingham Central Moor Street, Carrs Lane, Birmingham, West Midlands, B47SS",52.47961759,-1.893802543,"Carrs Lane, Birmingham, B4 7SS, United Kingdom",Carrs Lane,,Carrs Lane,Chinese Quarter,B4 7SS,Jewellery Quarter,Birmingham,West Midlands,,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Dean Court Hotel, 57, Inverness Terrace",53.962003,-1.084048,"Dean Court Hotel, 57 Duncombe Place, York, YO1 7EF, United Kingdom",Dean Court Hotel,57,Duncombe Place,,YO1 7EF,,York,North Yorkshire,NYK,England,ENG,United Kingdom,gb,0,,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Park Grand London Hyde Park, 78-82, Westbourne Terrace",51.51571925,-0.180090759,"Park Grand London Hyde Park, 78-82 Westbourne Terrace, London, W2 6QT, United Kingdom",Park Grand London Hyde Park,78-82,Westbourne Terrace,Westbourne Green,W2 6QT,Paddington,London,Greater London,,England,ENG,United Kingdom,gb,0,,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Holly House Hotel, 20, Hugh Street, London, Westminster, SW1V1RP",51.4924471,-0.145549186,"Holly House Hotel, 20 Hugh Street, London, SW1V 1RP, United Kingdom",Holly House Hotel,20,Hugh Street,,SW1V 1RP,Victoria,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Hillside Hotel, 3, Queen's Road, Dunbar, East Lothian, EH421RB",56.00006395,-2.512357045,"Hillside Hotel, 3 Queen's Road, Dunbar, EH42 1RB, United Kingdom",Hillside Hotel,3,Queen's Road,,EH42 1RB,Belhaven,Dunbar,East Lothian,ELN,Scotland,SCT,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Bron Orme Hotel, 54, Church Walks, Llandudno, , GB, Conwy, LL302HL",53.32635525,-3.837320435,"Bron Orme Hotel, 54 Church Walks, Llandudno, LL30 2HL, United Kingdom",Bron Orme Hotel,54,Church Walks,,LL30 2HL,Llandudno,Llandudno,Conwy,CWY,Wales,WLS,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Darlington Hyde Park, 111-117, Sussex Gardens, London",51.51551855,-0.171446836,"The Darlington Hyde Park, 111-117 Sussex Gardens, London, W2 2RU, United Kingdom",The Darlington Hyde Park,111-117,Sussex Gardens,,W2 2RU,Paddington,London,Greater London,,England,ENG,United Kingdom,gb,0.9,1,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Bennetts, 20-22, Derby Road, Nottingham, Erewash, East Midlands, NG101LW",52.9004829,-1.274157408,"Bennetts, 20-22 Derby Road, Nottingham, NG10 1LW, United Kingdom",Bennetts,20-22,Derby Road,,NG10 1LW,,Nottingham,Derbyshire,DBY,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Belgrave, 80-86, Belgrave Road, London, Westminster, SW1V2BJ",51.4901136,-0.138092327,"The Belgrave, 80-86 Belgrave Road, London, SW1V 2BJ, United Kingdom",The Belgrave,80-86,Belgrave Road,,SW1V 2BJ,Pimlico,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Waterside, 19, Ness Bank, Inverness, Highland, IV24SF",57.4730537,-4.227087864,"The Waterside, 19 Ness Bank, Inverness, IV2 4SF, United Kingdom",The Waterside,19,Ness Bank,,IV2 4SF,Haugh,Inverness,Highland,HLD,Scotland,SCT,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Soho Hotel, 4, Richmond Mews, London, Westminster, W1D3DH",51.5140175,-0.133770111,"The Soho Hotel, 4 Richmond Mews, London, W1D 3DH, United Kingdom",The Soho Hotel,4,Richmond Mews,Soho,W1D 3DH,,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Richmond Hotel, 44-45, Marine Terrace, Ceredigion, SY232BX",52.4182121,-4.083984944,"Richmond Hotel, 44-45 Marine Terrace, Aberystwyth, SY23 2BX, United Kingdom",Richmond Hotel,44-45,Marine Terrace,Aberystwyth Community,SY23 2BX,Aberystwyth,Aberystwyth,Ceredigion,CGN,Wales,WLS,United Kingdom,gb,0.81,1,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Hotel Express, Cuthbert Street, Gateshead, North East, NE81AF",54.95603785,-1.614390619,"Hotel Express, Cuthbert Street, Gateshead, NE8 1AF, United Kingdom",Hotel Express,,Cuthbert Street,,NE8 1AF,Bensham,Gateshead,Tyne and Wear,NET,England,ENG,United Kingdom,gb,0.567,1,0.567,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Victoria Inn London, 65-67, Belgrave Road, London, Westminster, SW1V2BG",51.4903342,-0.137701257,"The Victoria Inn London, 65-67 Belgrave Road, London, SW1V 2BG, United Kingdom",The Victoria Inn London,65-67,Belgrave Road,,SW1V 2BG,Pimlico,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Beamish Park Hotel, Beamishburn Road, Gateshead, Tyne And Wear, County Durham, North East, NE165EG",54.88701415,-1.68106075,"Beamishburn Road, Stanley, NE16 5EG, United Kingdom",Beamishburn Road,,Beamishburn Road,,NE16 5EG,,Stanley,County Durham,,England,ENG,United Kingdom,gb,0.636363636,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Grand Hotel, North Parade, Llandudno, , GB, Conwy, LL302LR",53.32830345,-3.829080099,"Grand Hotel, North Parade, Llandudno, LL30 2LR, United Kingdom",Grand Hotel,,North Parade,,LL30 2LR,Craig-y-don,Llandudno,Conwy,CWY,Wales,WLS,United Kingdom,gb,1,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Leddie Hotel & Restaurant, West Main Street, Aberlady, East Lothian, EH320RE",56.00848765,-2.863546512,"West Main Street, Aberlady, EH32 0RE, United Kingdom",West Main Street,,West Main Street,,EH32 0RE,,Aberlady,East Lothian,ELN,Scotland,SCT,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Swn Y Mor Hotel, 5, Nevill Crescent, Llandudno, , GB, Conwy, LL301AT",53.3225989,-3.8209891,"Swn Y Mor Hotel, 5 Nevill Crescent, Llandudno, LL30 1AT, United Kingdom",Swn Y Mor Hotel,5,Nevill Crescent,,LL30 1AT,Craig-y-don,Llandudno,Conwy,CWY,Wales,WLS,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Travelodge, 1, Lumina Way, Enfield, London, EN11FS",51.6446111,-0.059831131,"Travelodge, 1 Lumina Way, London, EN1 1FS, United Kingdom",Travelodge,1,Lumina Way,,EN1 1FS,Southbury,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Premier Inn, Derwenthaugh Road, Gateshead, North East, NE163BL",54.973169,-1.618044,"Premier Inn, 95 Newgate Street, Newcastle upon Tyne, NE16 3BL, United Kingdom",Premier Inn,95,Newgate Street,,NE16 3BL,,Newcastle upon Tyne,Newcastle upon Tyne,NET,England,ENG,United Kingdom,gb,0.567,1,0.567,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Baytree Hotel, 6-9, North Parade, Llandudno, , GB, Conwy, LL302LP",53.3262663,-3.8313808,"The Baytree Hotel, 6-9 North Parade, Llandudno, LL30 2LP, United Kingdom",The Baytree Hotel,9-Jun,North Parade,,LL30 2LP,Llandudno,Llandudno,Conwy,CWY,Wales,WLS,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Park Plaza Riverbank, 18, Albert Embankment, London, Lambeth, SE17TJ",51.4914307,-0.121393776,"Park Plaza Riverbank, 18 Albert Embankment, London, SE1 7TJ, United Kingdom",Park Plaza Riverbank,18,Albert Embankment,London Borough of Lambeth,SE1 7TJ,Vauxhall,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Roseview Hotel, 2, Queen's Avenue, London, Haringey, N103NR",51.59169195,-0.143593132,"Roseview Hotel, 2 Queens Avenue, London, N10 3NR, United Kingdom",Roseview Hotel,2,Queens Avenue,London Borough of Haringey,N10 3NR,Muswell Hill,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Norton House Hotel, Newbridge, City of Edinburgh, EH288LX",55.93273235,-3.384097617,"Norton House Hotel, City of Edinburgh, EH28 8LX, United Kingdom",Norton House Hotel,,,,EH28 8LX,,City of Edinburgh,,,Scotland,SCT,United Kingdom,gb,0.75,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Derby Station Hotel, 21, Midland Road, Derby, East Midlands, DE12SL",52.91575935,-1.465111566,"Derby Station Hotel, 21 Midland Road, Derby, DE1 2SL, United Kingdom",Derby Station Hotel,21,Midland Road,Castleward,DE1 2SL,Pride Park,Derby,Derby,DER,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"K Hotel Kensington, 131-137, Cromwell Road",51.49444025,-0.187541509,"K Hotel Kensington, 131-137 Cromwell Road, London, SW7 4HA, United Kingdom",K Hotel Kensington,131-137,Cromwell Road,Royal Borough of Kensington and Chelsea,SW7 4HA,South Kensington,London,Greater London,,England,ENG,United Kingdom,gb,0,,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Leapark Hotel, 130, Bo'ness Road, Grangemouth, Falkirk, FK39BX",56.01717015,-3.712215019,"Leapark Hotel, 130 Bo'ness Road, Grangemouth, FK3 9BX, United Kingdom",Leapark Hotel,130,Bo'ness Road,,FK3 9BX,Kersiebank,Grangemouth,Falkirk,FAL,Scotland,SCT,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Castleton Hotel, 164-166, Sussex Gardens, London",51.5151147,-0.173473563,"The Castleton Hotel, 164-166 Sussex Gardens, London, W2 1UD, United Kingdom",The Castleton Hotel,164-166,Sussex Gardens,,W2 1UD,Paddington,London,Greater London,,England,ENG,United Kingdom,gb,0.9,1,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Homestay, 2, Bulstrode Road, Hounslow, London, TW33AT",51.4695786,-0.367679316,"Homestay, 2 Bulstrode Road, London, TW3 3AT, United Kingdom",Homestay,2,Bulstrode Road,,TW3 3AT,Hounslow West,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Elm Tree Hotel, 24, North Parade, Llandudno, , GB, Conwy, LL302LP",53.32792505,-3.830978438,"Elm Tree Hotel, 24 North Parade, Llandudno, LL30 2LP, United Kingdom",Elm Tree Hotel,24,North Parade,,LL30 2LP,Craig-y-don,Llandudno,Conwy,CWY,Wales,WLS,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Malmaison Edinburgh City, 21-22, St Andrew Square, Edinburgh, City of Edinburgh, EH21AF",55.9548538,-3.194132199,"Malmaison Edinburgh City, 21-22 St Andrew Square, City of Edinburgh, EH2 1AF, United Kingdom",Malmaison Edinburgh City,21-22,St Andrew Square,,EH2 1AF,New Town,City of Edinburgh,,,Scotland,SCT,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Royal Pavillion Townhouse, 12, Regency Square",50.8227617,-0.150954546,"Royal Pavillion Townhouse, 12 Regency Square, Brighton, BN1 2GG, United Kingdom",Royal Pavillion Townhouse,12,Regency Square,,BN1 2GG,Brunswick,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0,,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Glenfinnan House Hotel, Glenfinnan, Highland, PH374LT",56.8695971,-5.44474575,"Glenfinnan House Hotel, Shore Path, Glenfinnan, PH37 4LT, United Kingdom",Glenfinnan House Hotel,,Shore Path,,PH37 4LT,,Glenfinnan,Highland,HLD,Scotland,SCT,United Kingdom,gb,1,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Radisson RED, Lime Street, Liverpool",53.40753505,-2.97744538,"Liverpool Lime Street Railway Station, Lime Street, Liverpool, L1 1RD, United Kingdom",Liverpool Lime Street Railway Station,,Lime Street,,L1 1RD,Vauxhall,Liverpool,Liverpool City Region,,England,ENG,United Kingdom,gb,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Crowne Plaza, Holliday Street, Birmingham, West Midlands, B11HH",52.47737,-1.906237795,"Holliday Street, Birmingham, B1 1HH, United Kingdom",Holliday Street,,Holliday Street,Attwood Green,B1 1HH,Ladywood,Birmingham,West Midlands,,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Grampian Hotel, 37-39, York Place, Perth, Perth and Kinross, PH28EH",56.3957611,-3.439533248,"Grampian Hotel, 37-39 York Place, Perth, PH2 8EH, United Kingdom",Grampian Hotel,37-39,York Place,,PH2 8EH,Craigie,Perth,Perth and Kinross,PKN,Scotland,SCT,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Euro Hotel, 31, Shepherds Bush Road, London, , GB, Hammersmith and Fulham, W67LX",51.50120825,-0.221696483,"Euro Hotel, 31 Shepherds Bush Road, London, W6 7LX, United Kingdom",Euro Hotel,31,Shepherds Bush Road,London Borough of Hammersmith and Fulham,W6 7LX,Shepherd's Bush,London,Greater London,,England,ENG,United Kingdom,gb,1,0.230769231,0.230769231,0.230769231,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Castle Hotel, Castle Street, Merthyr Tydfil, CF478BG",51.74662653,-3.380554498,"Castle Street, Merthyr Tydfil, CF47 8BG, United Kingdom",Castle Street,,Castle Street,,CF47 8BG,Twynyrodyn,Merthyr Tydfil,Merthyr Tydfil County Borough,,Wales,WLS,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Seaham Hall Hotel, Lord Byron's Walk, Seaham, County Durham, North East, SR77AG",54.84934589,-1.346739364,"Lord Byron's Walk, Seaham, SR7 7AG, United Kingdom",Lord Byron's Walk,,Lord Byron's Walk,,SR7 7AG,Northlea,Seaham,County Durham,,England,ENG,United Kingdom,gb,0.63,1,0.9,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Mansfield House Hotel, Weensland Road, Scottish Borders, TD98LB",55.4311227,-2.760660721,"Mansfield House Hotel, Weensland Road, Hawick, TD9 8LB, United Kingdom",Mansfield House Hotel,,Weensland Road,,TD9 8LB,Weensland,Hawick,Scottish Borders,SCB,Scotland,SCT,United Kingdom,gb,1,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Ffynnon Boutique Accomodation, Bryn Teg, Gwynedd, LL401RR",52.7412499,-3.887938126,"Ffynnon Boutique Accomodation, Mount Pleasant Road, Dolgellau, LL40 1RR, United Kingdom",Ffynnon Boutique Accomodation,,Mount Pleasant Road,Dolgellau Community,LL40 1RR,Dolgellau,Dolgellau,Gwynedd,GWN,Wales,WLS,United Kingdom,gb,1,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Hyde Park Radnor Hotel, 7-9, Sussex Place, London, Westminster, W22SX",51.51445265,-0.172493989,"Hyde Park Radnor Hotel, 7-9 Sussex Place, London, W2 2SX, United Kingdom",Hyde Park Radnor Hotel,9-Jul,Sussex Place,,W2 2SX,Paddington,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Storehouse, Bridge Street Wynd, Kirkwall, Orkney Islands, KW151JD",58.98355707,-2.956883146,"Bridge Street Wynd, Kirkwall, KW15 1JD, United Kingdom",Bridge Street Wynd,,Bridge Street Wynd,,KW15 1JD,,Kirkwall,Orkney Islands,ORK,Scotland,SCT,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"St Martins Lane Hotel, 45, St. Martin's Lane, London, Westminster, WC2N4HX",51.51042635,-0.126264647,"St Martins Lane Hotel, 45 Saint Martin's Lane, London, WC2N 4HX, United Kingdom",St Martins Lane Hotel,45,Saint Martin's Lane,Seven Dials,WC2N 4HX,Bloomsbury,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Novotel, 70, Broad Street, Birmingham, West Midlands, B12HT",52.4763886,-1.91371155,"Novotel, 70 Broad Street, Birmingham, B1 2HT, United Kingdom",Novotel,70,Broad Street,Attwood Green,B1 2HT,Ladywood,Birmingham,West Midlands,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Mitre Hotel, Hampton Court Road, Richmond upon Thames, London, KT89BN",51.40971115,-0.350697717,"Hampton Court Road, London, KT8 9BN, United Kingdom",Hampton Court Road,,Hampton Court Road,London Borough of Richmond upon Thames,KT8 9BN,Hampton,London,Greater London,,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Premier Inn, Kenpas Highway, Coventry, West Midlands, CV36PB",52.38067922,-1.520536546,"Kenpas Highway, Coventry, CV3 6PB, United Kingdom",Kenpas Highway,,Kenpas Highway,Styvechale Grange,CV3 6PB,Stivichall,Coventry,West Midlands,,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Savoro, 206, High Street, High Barnet, London, EN55SZ",51.6569045,-0.201098763,"Savoro, 206 High Street, London, EN5 5SZ, United Kingdom",Savoro,206,High Street,,EN5 5SZ,High Barnet,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Premier Inn, Cramlington, Northumberland, North East, NE237QA",55.06503744,-1.58067162,"Cramlington, NE23 7QA, United Kingdom",NE23 7QA,,,,NE23 7QA,,Cramlington,Northumberland,NBL,England,ENG,United Kingdom,gb,0.8,0.567,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Classic Hyde Park Hotel, 109, Sussex Gardens",51.5156354,-0.1712206,"Classic Hyde Park Hotel, 109 Sussex Gardens, London, W2 3UA, United Kingdom",Classic Hyde Park Hotel,109,Sussex Gardens,,W2 3UA,Paddington,London,Greater London,,England,ENG,United Kingdom,gb,0,,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Craig-Ard Hotel, 3, Arvon Avenue, Llandudno, , GB, Conwy, LL302DY",53.3251003,-3.834186665,"Craig-Ard Hotel, 3 Arvon Avenue, Llandudno, LL30 2DY, United Kingdom",Craig-Ard Hotel,3,Arvon Avenue,Llandudno Community,LL30 2DY,Llandudno,Llandudno,Conwy,CWY,Wales,WLS,United Kingdom,gb,0.764705882,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Chelsea Hotel, 67, Church Walks, Llandudno, , GB, Conwy, LL302HG",53.32746685,-3.834456687,"Chelsea Hotel, 67 Church Walks, Llandudno, LL30 2HG, United Kingdom",Chelsea Hotel,67,Church Walks,,LL30 2HG,Llandudno,Llandudno,Conwy,CWY,Wales,WLS,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Brisbane House, 14-16, Greenock Road, Largs, North Ayrshire, KA308NE",55.79739195,-4.867814683,"Brisbane House, 14-16 Greenock Road, Largs, KA30 8NE, United Kingdom",Brisbane House,14-16,Greenock Road,,KA30 8NE,Netherhall,Largs,North Ayrshire,NAY,Scotland,SCT,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"St Pancras Renaissance London Hotel, Euston Road, London, Camden, NW12AR",51.5286881,-0.12707875,"Euston Road, London, NW1 2AR, United Kingdom",Euston Road,,Euston Road,London Borough of Camden,NW1 2AR,Saint Pancras,London,Greater London,,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Original Rosslyn Inn, Main Street, Midlothian, EH259LE",55.85831619,-3.166193015,"Main Street, Roslin, EH25 9LE, United Kingdom",Main Street,,Main Street,,EH25 9LE,,Roslin,Midlothian,MLN,Scotland,SCT,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Newark Lodge Guest House, 5, Bullpit Road, Newark, Newark and Sherwood, East Midlands, NG243PT",53.0560724,-0.778885594,"Newark Lodge Guest House, 5 Bullpit Road, Newark and Sherwood, NG24 3PT, United Kingdom",Newark Lodge Guest House,5,Bullpit Road,New Balderton,NG24 3PT,Balderton,Newark and Sherwood,Nottinghamshire,NTT,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Slate, Tal Y Bont, Bangor, , GB, Gwynedd, LL573UR",53.2162201,-4.0906235,"The Slate, Talybont Cottages, Bangor, LL57 3UR, United Kingdom",The Slate,,Talybont Cottages,,LL57 3UR,Llanllechid,Bangor,Gwynedd,GWN,Wales,WLS,United Kingdom,gb,0.428571429,1,0.5,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Ibis Budget Edinburgh Park, 6, Lochside View, Edinburgh, City of Edinburgh, EH129DH",55.9377493,-3.320026454,"Ibis Budget Edinburgh Park, 6 Lochside View, City of Edinburgh, EH12 9DH, United Kingdom",Ibis Budget Edinburgh Park,6,Lochside View,,EH12 9DH,South Gyle,City of Edinburgh,,,Scotland,SCT,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Novotel London West, 1, Shortlands, London, Hammersmith and Fulham, W68DR",51.49180885,-0.220570226,"Novotel London West, 1 Shortlands, London, W6 8DR, United Kingdom",Novotel London West,1,Shortlands,London Borough of Hammersmith and Fulham,W6 8DR,Brook Green,London,Greater London,,England,ENG,United Kingdom,gb,0.9,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Harbour House Hotel, 53, Main Street, Portpatrick, Dumfries and Galloway, DG98JW",54.8419838,-5.116879736,"Harbour House Hotel, 53 Main Street, Portpatrick, DG9 8JW, United Kingdom",Harbour House Hotel,53,Main Street,,DG9 8JW,,Portpatrick,Dumfries and Galloway,DGY,Scotland,SCT,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Standard, London, 10, Argyle Street, London, , GB, Camden, WC1H8EG",51.5294697,-0.1243303,"The Standard, London, 10 Argyle Street, London, WC1H 8EG, United Kingdom","The Standard, London",10,Argyle Street,London Borough of Camden,WC1H 8EG,King's Cross,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Stage Hotel, 1-5, Gregory Boulevard, Nottingham, East Midlands, NG76LB",52.9681291,-1.156410319,"Stage Hotel, 1-5 Gregory Boulevard, Nottingham, NG7 6LB, United Kingdom",Stage Hotel,5-Jan,Gregory Boulevard,,NG7 6LB,Forest Fields,Nottingham,East Midlands,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Central Park Hotel, 49-67, Queensborough Terrace",51.51132025,-0.185402917,"Central Park Hotel, 49-67 Queensborough Terrace, London, W2 3ST, United Kingdom",Central Park Hotel,49-67,Queensborough Terrace,Westbourne Green,W2 3ST,Bayswater,London,Greater London,,England,ENG,United Kingdom,gb,0,,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Beaufort Hotel, 33, Beaufort Gardens",51.49772245,-0.164211226,"The Beaufort Hotel, 33 Beaufort Gardens, London, SW3 1PW, United Kingdom",The Beaufort Hotel,33,Beaufort Gardens,Royal Borough of Kensington and Chelsea,SW3 1PW,Chelsea,London,Greater London,,England,ENG,United Kingdom,gb,0,,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
