text_a,text_b,label,clusterA,clusterB
"Fairhaven Christian Hotel, 3 Craig Y Don Parade, Conwy, LL301BG","Bromwell Court Hotel, 6, Craig Y Don Parade, Llandudno, , GB, Conwy, LL301BG",0,2597,3119
"Hampton Hotel, 14 Corstorphine Road EdinburghMidlothian, City of Edinburgh, EH126HN","Hampton Hotel, 14, Corstorphine Road, Edinburgh, , United Kingdom, City of Edinburgh, EH126HN",1,1261,1261
"The Old Manse Hotel, 19 Middleton Road Pickering North Yorkshire, Yorkshire and The Humber, YO188AL","The Old Manse, 19, Middleton Road, Pickering, , United Kingdom, North Yorkshire, Yorkshire and The Humber, YO188AL",1,3020,3020
"Bromwell Court, 6 Craig-Y-Don Parade Llandudno Conwy, LL301BG","Bromwell Court Hotel, 6, Craig Y Don Parade, Llandudno, , GB, Conwy, LL301BG",1,3119,3119
"Park Inn by Radisson Manchester City Centre, Cheetham Hill Road Manchester, North West, M44EW","Park Inn by Radisson Manchester City Centre, 4, Cheetham Hill Road, Manchester, North West, M44EW",1,1458,1458
"The Mandrake Hotel, 20-21 Newman Street London, Westminster, W1T1PG","The Mandrake Hotel, 20-21, Newman Street, London, Westminster, W1T1PF",1,703,703
"Best Western Ipswich Hotel, Old London Road Copdock CopdockIpswichSuffolk, Babergh, East of England, IP83JD","Ipswich Hotel, Old London Road, Ipswich, , GB, Babergh, East of England, IP83JD",1,2997,2997
"The Last Post, 14 Trafalgar Road Blackpool, North West, FY16AW","Garvey's Promenade Hotel, Trafalgar Road, Blackpool, , United Kingdom, North West, FY16AJ",0,3474,2019
"Rathbone, 30 Rathbone Street West End  London, Westminster, W1T1LB","Rathbone Hotel, 30, Rathbone Street, London, Westminster, W1T1LB",1,1384,1384
"Premier Inn Ipswich, Old Hadleigh Road  Ipswich, Babergh, East of England, IP83AR","Premier Inn, Hadleigh Road, Ipswich, , GB, Babergh, East of England, IP83AR",1,2528,2528
"Rawcliffe Holiday Lets, 69 Hornby Road, Blackpool, North West, FY14QJ","The Residence, 99-101, Hornby Road, Blackpool, , United Kingdom, North West, FY14QP",0,380,1605
"Holiday Inn Express London Victoria, 106 110 Belgrave Road London, Westminster, SW1V2BJ","Victor Hotel, 51, Belgrave Road, London, , United Kingdom, Westminster, SW1V2BP",0,3485,2980
"The Royal Seabank Hotel, 219-223 Central Promenade BlackpoolLancashire, North West, FY15DL","Blenheim Mount, 207, Promenade, Blackpool, North West, FY15DL",0,1665,1800
"Royal Windsor Holiday Apartments, Trafalgar Road 12, Blackpool, North West, FY16AW","Wembley Hotel, Trafalgar Road, Blackpool, , United Kingdom, North West, FY16AJ",0,792,3395
"Hotel Una, 55/56 Regency Square Brighton, Brighton and Hove, South East, BN12FF","Hotel Pelirocco, 10, Regency Square, Brighton and Hove, South East, BN12FG",0,43,2921
"The White House Manor, New Road PrestburyCheshire, Cheshire East, North West, SK104HP","The White House Manor Hotel, New Road, Prestbury, Cheshire East, North West, SK104HP",1,1304,1304
"Ocean Bay Hotel, 583 New South Promenade  Blackpool, North West, FY41NG","Waldorf Hotel, 591-593, New South Promenade, Blackpool, North West, FY41NG",0,3776,537
"Craigard House Hotel, Low Askomil CampbeltownArgyll, Argyll and Bute, PA286EP","Craiguard House Hotel, High Askomill, Campbeltown, Argyll and Bute, PA286EP",1,2375,2375
"The Hand Hotel, Bridge Street Llangollen, Denbighshire, LL208PL","The Hand Hotel, Bridge Street, Llangollen, , GB, Denbighshire, LL208PL",1,1577,1577
"The Golden Cheval Hotel, 203 Central Promenade Blackpool, North West, FY15DL","Craig-y-Don Hotel, 209-213, Promenade, Blackpool, North West, FY15DL",0,2912,3205
"The Windsor Hotel, 21 King Edward Avenue North Shore Blackpool, North West, FY29TA","Northcrest, 22, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TD",0,554,3385
"WISHING WELL GUEST HOUSE, 34 Woodfield Road Blackpool, FY16AZ","The Art Break Hotel, 14-16, Woodfield Road, Blackpool, , United Kingdom, North West, FY16AX",0,1830,849
"Henson Hotel, 23 Clifton Drive Blackpool, North West, FY41NT","Scala Hotel, 22, Clifton Drive, Blackpool, , United Kingdom, North West, FY41NX",0,770,160
"Baxter Holiday Apartments, 37 Charnley Road, Blackpool, North West, FY14PE","Charnley Gold, 38, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",0,2420,84
"Heather Lea, 34 Empress Drive Blackpool, North West, FY29SD","The Rowan, 8, Empress Drive, Blackpool, , United Kingdom, North West, FY29SE",0,3048,2333
"Siskin, 18 Southey Street, Cumberland, North West, CA124EF","Goodwin House, 29, Southey Street, Keswick, , United Kingdom, Cumberland, North West, CA124EE",0,3234,2995
"Kingsway, 68 Charnley Road Blackpool Lancashire, North West, FY14PF","The Lismain Hotel, 3, Charnley Road, Blackpool, , United Kingdom, North West, FY14PE",0,84,404
"Holiday Inn London Kensington Forum, 97 Cromwell Road London, SW74DN","Holiday Inn Kensington Forum, 97, Cromwell Road, London, , GB, SW74DN",1,1955,1955
"The Cross at Kingussie, Tweedmill Brae, Ardbroilach Road Kingussie, Highland, PH211LB","The Cross at Kingussie, Tweed Mill Brae, Kingussie, , United Kingdom, Highland, PH211LB",1,2556,2556
"Heron View Cottage, 4 Field Footgrasmere, Westmorland and Furness, North West, LA229TB","Grasmere Hotel, Broadgate, Grasmere, Westmorland and Furness, North West, LA229TA",0,2782,2244
"Hampton by Hilton Stansted Airport, Bassingbourn Road Stansted, Uttlesford, East of England, CM241QW","Hampton by Hilton London Stansted Airport, Bassingbourn Road, Stansted, Uttlesford, East of England, CM241QW",1,1330,1330
"Queensway Hotel - Sure Hotel Collection by Best Western, 147-149 Sussex Gardens Hyde ParkLondon, Westminster, W22RY","KingswayPark Hotel at Park Avenue, 139, Sussex Gardens, London, Westminster, W22RX",0,3874,1109
"Wildings Hotel, 14 North Parade Llandudno, Conwy, LL302LP","Milverton Hotel, 3, North Parade, Llandudno, , GB, Conwy, LL302LP",0,2463,3430
"Donington Manor Hotel, High Street Castle Donington Castle Donington, North West Leicestershire, East Midlands, DE742PP","Donington Manor Hotel, High Street, Derby, North West Leicestershire, East Midlands, DE742PP",1,3142,3142
"Abbot s Fireside, High Street Elham ElhamCanterburyKent, Folkestone and Hythe, South East, CT46TD","Abbot's Fireside Hotel, High Street, Elham, , United Kingdom, Folkestone and Hythe, South East, CT46TD",1,1523,1523
"Forest house hotel, 70 Green Lanes Palmers Green Wood GreenLondon, Enfield, N136BE","Forest House, 70, Green Lanes, London, Enfield, N136BE",1,2127,2127
"The Gretna Chase Hotel, Gretna GretnaDumfriesshire, Cumberland, North West, DG165JB","Gretna Chase Hotel, Gretna, Cumberland, North West, DG165JB",1,3187,3187
"Queensway Hotel - Sure Hotel Collection by Best Western, 147-149 Sussex Gardens Hyde ParkLondon, Westminster, W22RY","Admiral Hotel at Park Avenue, 143, Sussex Gardens, London, Westminster, W22RY",0,3874,2968
"Melvill Guest House, 52 Melvill Road Falmouth Cornwall, South West, TR114DQ","Cotswold House, 49, Melvill Road, Cornwall, South West, TR114DF",0,3453,2271
"The Oakland Guest House, 61 Holmfield Road Blackpool, North West, FY29RU","Mayfield, 27, Holmfield Road, Blackpool, , United Kingdom, North West, FY29TB",0,288,2394
"Jade Apartments, 10 Clifton Drive Lancashire, Blackpool, North West, FY41NX","Henson Hotel, 23, Clifton Drive, Blackpool, , United Kingdom, North West, FY41NT",0,2449,770
"Beverley City, 142 Sussex Gardens London, Westminster, W21UB","Pacific Hotel, 108, Sussex Gardens, London, Westminster, W21UA",0,2751,3648
"3 Norfolk Square Guest house, Albemarle Road Great YarmouthNorfolk, East of England, NR301EE","Barons Court Hotel, 5, Norfolk Square, Great Yarmouth, East of England, NR301EE",0,2742,2295
"The Royal Foresters, London Road Ascot, Bracknell Forest, South East, SL58DR","The Royal Foresters Hotel, London Road, Ascot, Bracknell Forest, South East, SL58DR",1,2360,2360
