orig_indexA,orig_indexB,addressA,addressB,score,Equal
708,698,"The Crown And Thistle, Bridge Street AbingdonOxford, Vale of White Horse, South East, OX143HS","Crown & Thistle, 18, Bridge Street, Vale of White Horse, , United Kingdom, South East, OX143HS",0.6895,yes
709,10674,"Hilton Garden Inn Abingdon Oxford, Marcham Road . 0 . Abingdon-on-ThamesOxfordshire, Vale of White Horse, South East, OX141TZ","Hilton Garden Inn Abingdon Oxford, Marcham Road, Vale of White Horse, South East, OX141TZ",0.7769,yes
812,872,"The Brudenell Hotel, The Parade AldeburghSuffolk, East Suffolk, East of England, IP155BU","The Brudenell, Brudenell Street, East Suffolk, , United Kingdom, East of England, IP155BU",0.696,yes
880,9817,"Alderley Edge Hotel, Macclesfield Road Cheshire Alderley EdgeCheshire, Cheshire East, North West, SK97BJ","Alderley Edge Hotel, Macclesfield Road, Cheshire East, North West, SK97BJ",0.7154,yes
889,11367,"Premier Inn Aldershot, 7 Wellington Avenue AldershotHampshire, Rushmoor, South East, GU111SQ","Premier Inn, 7, Wellington Avenue, Aldershot, Rushmoor, South East, GU111SQ",0.7925,yes
708,698,"The Crown And Thistle, Bridge Street AbingdonOxford, Vale of White Horse, South East, OX143HS","Crown & Thistle, 18, Bridge Street, Vale of White Horse, , United Kingdom, South East, OX143HS",0.6895,yes
709,10674,"Hilton Garden Inn Abingdon Oxford, Marcham Road . 0 . Abingdon-on-ThamesOxfordshire, Vale of White Horse, South East, OX141TZ","Hilton Garden Inn Abingdon Oxford, Marcham Road, Vale of White Horse, South East, OX141TZ",0.7769,yes
812,872,"The Brudenell Hotel, The Parade AldeburghSuffolk, East Suffolk, East of England, IP155BU","The Brudenell, Brudenell Street, East Suffolk, , United Kingdom, East of England, IP155BU",0.696,yes
880,9817,"Alderley Edge Hotel, Macclesfield Road Cheshire Alderley EdgeCheshire, Cheshire East, North West, SK97BJ","Alderley Edge Hotel, Macclesfield Road, Cheshire East, North West, SK97BJ",0.7154,yes
889,11367,"Premier Inn Aldershot, 7 Wellington Avenue AldershotHampshire, Rushmoor, South East, GU111SQ","Premier Inn, 7, Wellington Avenue, Aldershot, Rushmoor, South East, GU111SQ",0.7925,yes
937,7358,"Luss Cottages At Loch Lomond Arms Hotel, Loch Lomond Arms Hotel Main Road Argyll, Argyll and Bute, G838NY","Loch Lomond Arms Hotel, Main Road, Luss, Argyll and Bute, G838NY",0.725,yes
1081,8354,"The Derbyshire Hotel, Carter Lane East South Normanton South Normanton, Bolsover, East Midlands, DE552EH","The Derbyshire Hotel, Carter Lane East, Alfreton, Bolsover, East Midlands, DE552EH",0.6805,yes
1105,233,"The Star Inn Alfriston, High Street Alfriston East Sussex, Wealden, South East, BN265TA","Star Inn, High Street, Wealden, , United Kingdom, South East, BN265TA",0.66,yes
1112,11366,"Derwent Manor Hotel, BW Premier Collection, Allensford Northumberland Northumberland, North East, DH89BB","Best Western Derwent Manor Hotel, Consett, Northumberland, North East, DH89BB",0.7075,Yes
1119,4575,"Holnicote House, Park Street Minehead, Somerset, South West, TA248TJ","HF Holidays Holnicote House, Minehead Road, Minehead, Somerset, , GB, South West, TA248TJ",0.675,yes
1124,3472,"Allington Manor, The Old Manor House, Allington Near GranthamLincolnshire, South Kesteven, East Midlands, NG322DH","Allington Manor, Bottesford Road, Grantham, , United Kingdom, South Kesteven, East Midlands, NG322DH",0.6545,yes
1143,268,"Dunstanburgh Castle, Embleton AlnwickNorthumberland, North East, NE663UN","Dunstanburgh Castle Hotel, Front Street, Embleton, Northumberland, , United Kingdom, North East, NE663UN",0.7838,yes
1194,5347,"Classic Lodges The White Swan, Bondgate Within, Northumberland, North East, NE661TD","The White Swan Hotel, 16, Bondgate Within, Alnwick, Northumberland, North East, NE661TD",0.6958,Yes
1278,11136,"Best Western Plus Manor House Hotel, Audley Rd Alsager AlsagerStaffordshire, Cheshire East, North West, ST72QQ","Manor House Hotel, Audley Road, Cheshire East, North West, ST72QQ",0.7641,yes
1333,1884,"The Ashley Hotel, Ashley Road Na Hale HaleAltrinchamCheshire, Trafford, North West, WA159SF","Britannia Ashley Hotel, Ashley Road, Altrincham, , United Kingdom, Trafford, North West, WA159SF",0.7245,Yes
1341,10391,"Premier Inn Manchester Altrincham, Manchester Road AltrinchamCheshire, Trafford, North West, WA144PH","Premier Inn, Manchester Road, Altrincham, Trafford, North West, WA144PH",0.67,yes
1954,938,"Cairndow Stagecoach Inn, Cairndow, Argyll and Bute, PA268BN","Cairndow Stagecoach Inn, A83, Cairndow, , United Kingdom, Argyll and Bute, PA268BN",0.7,yes
2036,8717,"Royal Berkshire An Exclusive Venue, London Road Sunninghill SunninghillAscotBerkshire, Windsor and Maidenhead, South East, SL50PP","Royal Berkshire, London Road, Ascot, Windsor and Maidenhead, South East, SL50PP",0.7,yes
2264,10745,"Oakside Lodge, Upper Harbledown Upper HarbledownKent, Canterbury, South East, CT29AX","Oakside Lodge, Roman Road, Canterbury, Kent, , GB, South East, CT29AX",0.68,yes
2404,6540,"Breckland Lodge, London Road Attleborough Norfolk, Breckland, East of England, NR171AY","Breckland Lodge, London Road, Attleborough, , GB, East of England, NR171AY",0.7882,yes
2413,6733,"Gleneagles, Auchterarder Perthshire, Perth and Kinross, PH31NF","Gleneagles Hotel, Auchterarder, Perth and Kinross, PH31NF",0.7163,yes
2463,6886,"Cairngorm Hotel, Grampian Road AviemoreInverness-shire, Highland, PH221PE","Cairngorm Hotel, Grampian Road, Aviemore, Highland, PH221PE",0.6773,yes
2478,9534,"Premier Inn Aviemore, Grampian Road Aviemore, Highland, PH221PX","Premier Inn Aviemore, Grampian Road, Aviemore, Highland, PH221PX",0.7,yes
2640,7788,"The Berkeley, 1a Barns Street AyrSouth Ayrshire, KA71XB","The Berkeley, 1, Barns Street, Ayr, South Ayrshire, KA71XB",0.7714,Yes
2711,466,"The Rutland Arms Hotel, The Square Bakewell, Derbyshire Dales, East Midlands, DE451BT","The Rutland Arms Hotel, Rutland Square, Bakewell, , United Kingdom, Derbyshire Dales, East Midlands, DE451BT",0.75,yes
2848,1752,"Templars Hotel and Carvery, 20 High Street BaldockHertfordshire, North Hertfordshire, East of England, SG76AX","Templars, 20, High Street, Baldock, Hertfordshire, , United Kingdom, North Hertfordshire, East of England, SG76AX",0.7535,yes
3057,6340,"Cartwright Hotel, 1-5 Croughton Road AynhoBanburyOxfordshire, West Northamptonshire, East Midlands, OX173BE","Cartwright Hotel, 1-5, Croughton Road, Banbury, , GB, West Northamptonshire, East Midlands, OX173BE",0.7589,yes
3171,10530,"Premier Inn Bangor (Northern Ireland), Castle Avenue, Bangor Northern Ireland, Ards and North Down, BT204BN","Premier Inn, Castle Park Avenue, Bangor, Ards and North Down, BT204BN",0.6516,yes
3463,10157,"Travelodge Cardiff Airport Hotel, Port Road Rhoose Barry Mid Glamorgan, Vale of Glamorgan, CF623BA","Travelodge, Port Road West, Barry, Vale of Glamorgan, CF623BA",0.7348,yes
3469,3096,"Vale Park Hotel, Port Road, Vale of Glamorgan, CF623BT","Vale Park Hotel, Port Road, Rhoose, , United Kingdom, Vale of Glamorgan, CF623BT",0.7444,yes
3475,10156,"Aberthaw House Hotel, 28 Porthkerry Rd BarryWales, Vale of Glamorgan, CF627AX","Abershaw House Hotel, 28, Porthkerry Road, Barry, Vale of Glamorgan, CF627AX",0.7368,yes
3512,630,"Premier Inn Basildon, Felmores East Mayne East MayneBasildonEssex, East of England, SS131BW","Premier Inn, East Mayne, Basildon, , United Kingdom, East of England, SS131BW",0.668,yes
3526,11146,"The Hampshire Court Hotel QHotels, Centre Dr Great Binfields Rd Great Binfields RoadChinehamBasingstoke, Basingstoke and Deane, South East, RG248FY","Hampshire Centre Court Hotel, Centre Drive, Basingstoke, , GB, Basingstoke and Deane, South East, RG248FY",0.658,yes
3528,6061,"Holiday Inn Basingstoke, Grove Road Basingstoke, Basingstoke and Deane, South East, RG213EE","Holiday Inn, Grove Road, , GB, Basingstoke and Deane, South East, RG213EE",0.6667,yes
3530,166,"Apollo Hotel, Popley Way BasingstokeHampshire, Basingstoke and Deane, South East, RG249NU","Apollo Hotel, Popley Way, Basingstoke, , GB, Basingstoke and Deane, South East, RG249NU",0.7355,yes
3531,567,"Red Lion Hotel, Red Lion Lane BasingstokeHampshire, Basingstoke and Deane, South East, RG217LX","Red Lion, Red Lion Lane, Basingstoke, Hampshire, , GB, Basingstoke and Deane, South East, RG217LX",0.7484,yes
3577,5597,"Armathwaite Hall Hotel, Bassenthwaite Lake Bassenthwaite KeswickCumbria, Cumberland, North West, CA124RE","Armathwaite Hall, Cumberland, North West, CA124RE",0.7,yes
3590,4156,"Country Living Hotel Lansdown Grove Bath, Lansdown Road Bath, Bath and North East Somerset, South West, BA15EH","The Lansdown Grove Hotel, Lansdown Road, , GB, Bath and North East Somerset, South West, BA15EH",0.6696,yes
3621,8294,"Bailbrook House, London Road West BathNorth East Somerset., Bath and North East Somerset, South West, BA17JD","Bailbrook House Hotel, London Road West, Bath, Bath and North East Somerset, South West, BA17JD",0.6615,yes
3636,8293,"Bailbrook Lodge, 35-37 London Road West BathBath and North East Somerset, South West, BA17HZ","Bailbrook Lodge Hotel, 31-37, London Road West, Bath, Bath and North East Somerset, South West, BA17HZ",0.7714,yes
3653,4036,"Royal Hotel, Manvers St Bath, Bath and North East Somerset, South West, BA11JP","Royal Hotel, Manvers Street, Bath and North East Somerset, South West, BA11JP",0.75,yes
3654,9048,"SACO Bath St Jamess Parade, 37 St James Parade Bath, Bath and North East Somerset, South West, BA11UH","Saco, 37, Saint James's Parade, Bath and North East Somerset, South West, BA11UH",0.7929,yes
3669,5155,"Premier Inn Bath City Centre, James Street West Bath, Bath and North East Somerset, South West, BA12BX","Premier Inn Bath City Centre, 4, James Street West, Bath, , GB, Bath and North East Somerset, South West, BA12BX",0.7483,yes
3689,4043,"The Bird, 18-19 Pulteney Road Bath, Bath and North East Somerset, South West, BA24EZ","The Bird Hotel, 18-19, Pulteney Road, Bath and North East Somerset, South West, BA24EZ",0.7396,yes
3710,8265,"Hotel Indigo Bath, 2-8 South Parade Bath, BA24AB","Hotel Indigo, 2-8, South Parade, Bath, , GB, Bath and North East Somerset, South West, BA24AA",0.7,yes
4007,547,"The Priory Hotel, The Square BeaulyInverness-shire, Highland, IV47BX","The Priory Hotel, The Square, Beauly, , United Kingdom, Highland, IV47BX",0.6667,yes
4030,7350,"Ye Olde Bulls Head Inn & Townhouse, Castle Street BeaumarisAnglesey, Isle of Anglesey, LL588AP","Olde Bull's Head, 12-14, Castle Street, Beaumaris, Isle of Anglesey, LL588AP",0.6773,yes
4065,2672,"The Angel Inn, High Street Wangford Suffolk, East Suffolk, East of England, NR348RL","The Angel Inn, 39, High Street, Wangford, , United Kingdom, East Suffolk, East of England, NR348RL",0.75,yes
4139,3803,"MERCURE BEDFORD CENTRE HOTEL, 2 St Marys Street BedfordBedfordshire, East of England, MK420AR","Mercure Hotel, 2, St Mary's Street, Bedford, , GB, East of England, MK420AR",0.7326,yes
4148,11145,"Woodland Manor Hotel, Green Lane Clapham ClaphamBedford, East of England, MK416EP","Woodland Manor Hotel, Green Lane, Clapham, , GB, Bedford, East of England, MK416EP",0.7882,yes
4157,3989,"Verve Hotel, 27 Shakespeare Road BedfordBedfordshire, East of England, MK402DX","Verve Hotel, 27, Shakespeare Road, Bedford, , GB, East of England, MK402DX",0.7412,yes
4159,8305,"Millhouse Hotel And Riverside Restaurant, Mill Road SharnbrookBedford, East of England, MK441NP","Mill Hotel & Riverside Restaurant, Mill Road, Sharnbrook, , GB, Bedford, East of England, MK441NP",0.7488,yes
4221,7759,"Wellington Park Hotel, 21 Malone Road Belfast, BT96RW","Wellington Park Hotel, 21, Malone Road, Belfast, Antrim, BT96RU",0.6965,yes
4261,9736,"Pearl Court Guesthouse, 11 Malone Road Belfast, BT96RT","Number 11, 11, Malone Road, Belfast",0.7,yes
4480,6397,"Purdy Lodge, Adderstone Services BelfordNorthumberland, North East, NE707JU","Purdy Lodge, Adderstone, Northumberland, North East, NE707JU",0.6789,yes
4489,9298,"The Hall, Middleton BelfordNorthumberland, North East, NE707LF","Middleton Hall, Middleton, Northumberland, North East, NE707LF",0.7522,yes
4536,1044,"The Lion Hotel, Lion Hotel Bridge Street BelperDerbyshire, Amber Valley, East Midlands, DE561AX","Lion Hotel, 24, Bridge Street, Belper, , United Kingdom, Amber Valley, East Midlands, DE561AX",0.6814,yes
4592,8345,"The Pennyfarthing Hotel, 296-298 High Street BerkhamstedHertfordshire, Dacorum, East of England, HP41AH","The Penny Farthing, 296-298, High Street, Berkhamsted, Dacorum, East of England, HP41AH",0.7404,Yes
4860,4021,"Holiday Inn London Bexley, Black Prince Interchange Southwold Road Bexley, London, DA51ND","Holiday Inn, Southwold Road, Bexleyheath, Kent, , GB, London, DA51ND",0.7585,yes
5058,3567,"Kirkstyle Hotel, 72 High Street BiggarSouth Lanarkshire, ML126BJ","The Kirkstyle Hotel, 72, High Street, Biggar, , United Kingdom, South Lanarkshire, ML126BJ",0.7373,yes
5112,6814,"Holiday Inn Express Birmingham Snow Hill, 1 Snow Hill Plaza St Chads Queensway QueenswayBirmingham, West Midlands, B46HY","Holiday Inn Express, St Chads Queensway, Birmingham, West Midlands, B46HY",0.7077,yes
5120,5079,"Crowne Plaza Birmingham City, Central Square Birmingham, West Midlands, B11HH","Crowne Plaza, Holliday Street, Birmingham, West Midlands, B11HH",0.7034,yes
5123,6274,"Hampton by Hilton Birmingham City North, 98-104 Constitution Hill BirminghamWest Midlands, B193JT","Hampton by Hilton Birmingham Jewellery Quarter, 98-104, Constitution Hill, Birmingham, West Midlands, B193JT",0.7097,yes
5136,4943,"Jurys Inn Birmingham, 245 Broad Street LadywoodBirmingham England, West Midlands, B12HQ","Leonardo Royal Hotel, 245, Broad Street, Birmingham, West Midlands, B12HQ",0.7579,yes
5140,4808,"Clover Spa and Hotel, 759 Chester Road BirminghamWest Midlands, B240BY","Clover Spa & Hotel, 759, Chester Road, Birmingham, , GB, West Midlands, B240BY",0.75,yes
5142,5421,"Harborne Hall Hotel & Conference Centre, Old Church Road Harborne Birmingham, West Midlands, B170BE","Harborne Hall Hotel, Old Church Road, Birmingham, West Midlands, B170BE",0.7308,yes
5144,6948,"Premier Inn Solihull Town Centre, Station Road SolihullWest Midlands, B913RX","Premier Inn, 68, Station Road, Solihull, , GB, West Midlands, B913RX",0.6565,yes
5145,5306,"The Norfolk Hotel, 267 Hagley Rd Edgbaston Birmingham, West Midlands, B169NA","Norfolk Hotel, 259-267, Hagley Road, Birmingham, , GB, West Midlands, B169NA",0.77,yes
5148,6669,"The Westmead Hotel, Redditch Road Hopwood HopwoodBirmingham, Bromsgrove, West Midlands, B487AL","The Westmead Hotel, Birmingham Road, Hopwood, Bromsgrove, West Midlands, B487AL",0.7567,yes
5156,4146,"Ibis Styles Birmingham Centre, 65 Lionel Street BirminghamWest Midlands, B31JE","Ibis Styles, 65, Lionel Street, Birmingham, West Midlands, B31JE",0.7426,yes
5158,11264,"Macdonald Burlington Hotel, Burlington Arcade 126 New Street 126 New StreetBirmingham, West Midlands, B24JQ","The Burlington Hotel, 126, New Street, Birmingham, West Midlands, B24JQ",0.7333,yes
5173,4218,"The St Johns Hotel, 651 Warwick Road SolihullBirmingham, West Midlands, B911AT","St John's Hotel, 651, Warwick Road, Solihull, , GB, West Midlands, B911AT",0.7674,yes
5182,5633,"The Hylands, 153 Warwick Road CoventryWest Midlands, CV36AU","Hylands Hotel, 153, Warwick Road, Coventry, West Midlands, CV36AU",0.7565,yes
5218,4463,"Travelodge Birmingham Central Bull Ring, Upper Dean Street N A Birmingham, West Midlands, B54SG","Travelodge, Upper Dean Street, Birmingham, , GB, West Midlands, B54SG",0.7125,yes
5223,1712,"Staybridge Suites Birmingham, Martineau Place Corporation Street Birmingham, West Midlands, B24UW","Staybridge Suites, Martineau Place, Birmingham, , United Kingdom, West Midlands, B24UW",0.6783,yes
5228,6785,"Birmingham Strathallan Hotel, BW Signature Collection, Hagley Road Edgbaston 225  Birmingham EdgbastonBirmingham, West Midlands, B169RY","Birmingham Strathallan, 225, Hagley Road, Birmingham, , GB, West Midlands, B169RY",0.6542,yes
5240,8510,"Mercure Birmingham North Barons Court, Walsall Rd Walsall Wood Walsall WoodWalsall, West Midlands, WS99AH","Barons Court Hotel, Walsall Road, West Midlands, WS99AH",0.7088,yes
5247,4814,"The Great Barr Hotel, Pear Tree Drive Newton Road Newton RoadBirminghamGreat Barr, Sandwell, West Midlands, B436HS","Great Barr Hotel, Pear Tree Drive, Birmingham, Sandwell, West Midlands, B436HS",0.6531,yes
5248,9152,"Citrus Hotel Coventry South by Compass Hospitality, London Road Ryton On Dunsmore Ryton on DunsmoreCoventryWarwickshire, Rugby, West Midlands, CV83DY","Citrus Hotel Coventry South, Southam Road, , GB, Rugby, West Midlands, CV83DY",0.7125,yes
5254,5668,"Nailcote Hall, Nailcote Lane Berkswell BerkswellWarwick, Solihull, West Midlands, CV77DE","Nailcote Hall, Nailcote Lane, Solihull, West Midlands, CV77DE",0.6949,yes
5265,4462,"Ibis Birmingham Bordesley, 1 Bordesley Park Road BordesleyBirmingham, West Midlands, B100PD","Hotel Ibis Birmingham Bordesley, 1, Bordesley Park Road, Birmingham, , GB, West Midlands, B100PD",0.7966,yes
5276,4439,"ibis Birmingham Centre Irving Street, 55 Irving Street Birmingham, West Midlands, B11DH","Ibis (Reception and Bar), 55, Irving Street, Birmingham, West Midlands, B11DH",0.7814,yes
5276,4440,"ibis Birmingham Centre Irving Street, 55 Irving Street Birmingham, West Midlands, B11DH","Ibis (Rooms), 55, Irving Street, Birmingham, West Midlands, B11DH",0.7814,yes
5276,4441,"ibis Birmingham Centre Irving Street, 55 Irving Street Birmingham, West Midlands, B11DH","Ibis (Rooms), 55, Irving Street, Birmingham, West Midlands, B11DH",0.7814,yes
5278,9795,"Ramada Birmingham Oldbury M5 J2, Wolverhampton Road International House/963 Oldbury, Sandwell, West Midlands, B694RJ","Ramada, 967, Wolverhampton Road, Sandwell, West Midlands, B694RJ",0.672,yes
5291,3974,"ibis Coventry Centre Hotel, Mile Lane Coventry, West Midlands, CV12LN","Ibis Coventry Central, Mile Lane, West Midlands, CV12LN",0.6512,yes
5292,5513,"Travelodge Birmingham Frankley M5 Southbound, Illey Lane BIRMINGHAM, Bromsgrove, West Midlands, B324AR","Travelodge, Illey Lane, Birmingham, Bromsgrove, West Midlands, B324AR",0.7765,yes
5311,4184,"Copthorne Hotel Merry Hill Dudley, The Waterfront, Level Street The WaterfrontBierley Hill Dudley, West Midlands, DY51UR","Copthorne Hotel Merry Hill Dudley, Level Street, Dudley, West Midlands, DY51UR",0.7448,yes
5332,4848,"Premier Inn Solihull South (M42), Stratford Road ShirleySolihull, West Midlands, B904EP","Premier Inn, Stratford Road, Solihull, West Midlands, B904EP",0.7864,yes
5339,4507,"Prime Lodge, Nechelles Parkway NechellesBirmingham, West Midlands, B74PT","Prime Lodge, Nechells Parkway, Birmingham, West Midlands, B74PT",0.6811,yes
5345,5818,"Strawberry Bank Hotel, Main Rd Meriden MeridenCoventryWest Midlands, Solihull, CV77NF","Strawberry Bank Hotel & Restaurant, Main Road, Meriden, Solihull, West Midlands, CV77NF",0.7625,yes
5363,1346,"Park Head Hotel & Restaurant, 13 Park View Terrace New Coundon Bishop AucklandCounty Durham, North East, DL148QB","The Park Head Hotel, 13, Park View Terrace, Bishop Auckland, , United Kingdom, County Durham, North East, DL148QB",0.6882,yes
5384,5324,"Horsley Hall Eastgate, County Durham, North East, DL132LJ","Horsley Hall, Bishop Auckland, County Durham, North East, DL132LJ",0.7,yes
5452,3981,"Days Inn London Stansted Airport, Welcome Break Service Area Junction 8, M11 Motorway Welcome Break Service AreaBirchanger GreenBishop's Stortford, Uttlesford, East of England, CM235QZ","Days Inn London Stansted Airport, Dunmow Road, BishopÃ¢ÂÂÃÂÃÂ´s Stortford, Uttlesford, East of England, CM235QZ",0.6544,Yes
5488,10094,"Mar Hall Golf and Spa Resort, Earl Of Mar Estate; Bishopton BishoptonGlasgow, Renfrewshire, PA75NW","Mar Hall Hotel, Bishopton, Renfrewshire, PA75NW",0.762,yes
5525,7700,"Elgin Hotel, 36 42 Queens Promenade Blackpool, North West, FY29RW","Elgin Hotel, 36-42, Queens Promenade, Blackpool, North West, FY29RW",0.7,yes
5717,7654,"Best Western Carlton Hotel, 282-286 North Promenade BlackpoolLancashire, North West, FY12EZ","Carlton Hotel, 282-286, Promenade, Blackpool, North West, FY12EZ",0.651,yes
5822,7655,"The Parisienne Hotel, 240-244 North Promenade Blackpool, North West, FY11RZ","Parisenne Hotel, 240-244, Promenade, Blackpool, North West, FY11RZ",0.6795,yes
5842,6488,"The Golden Cheval Hotel, 203 Central Promenade Blackpool, North West, FY15DL","The Golden Cheval Hotel, 203, Promenade, Blackpool, North West, FY15DL",0.6705,Yes
5848,6492,"Blenheim Mount Hotel, 207 Promenade Blackpool, North West, FY15DL","Blenheim Mount, 207, Promenade, Blackpool, North West, FY15DL",0.7,Yes
5876,2395,"The Crosby Hotel, 59 Clifton Drive Blackpool, North West, FY41NT","The Crosby Hotel, 59, Clifton Drive, Blackpool, , United Kingdom, North West, FY41TH",0.6786,yes
5887,2747,"Hotel Athol, 383 385 South Promendade Blackpool, North West, FY16BH","Hotel Althol, Promenade, Blackpool, , United Kingdom, North West, FY16BH",0.7862,yes
5903,2502,"Crystals On The Prom, 263 Promenade ; Blackpool, North West, FY16AH","Crystals On The Prom, 263, Promenade, Blackpool, , GB, North West, FY16AH",0.6883,yes
6135,2515,"The Clarendon Showtel, 22-30 Clarendon Road Blackpool, North West, FY16EF","The Clarendon Showtel, Back Moon Avenue, Blackpool, , United Kingdom, North West, FY16EF",0.7,yes
6137,10495,"The Beach Hotel and Apartments, 453-459 Promenade BlackpoolLancashire, North West, FY41AR","The Beach Hotel, 453-459, Promenade, Blackpool, North West, FY41AR",0.6674,yes
6145,9174,"Queens Plaza Hotel, 256-258 Queens Promenade  Blackpool, North West, FY29HB","Queens Plaza Hotel, 256-258, Queen's Promenade, Blackpool, North West, FY29HB",0.6966,yes
6273,10725,"Leofric Hotel, 5 Woodfield Road Blackpool, North West, FY16AX","Leofric Legends, 5, Woodfield Road, Blackpool, North West, FY16AX",0.7826,yes
6303,6489,"Vinnie's Family Hotel, 205 Promenade, Blackpool, North West, FY15DL","Vinnies, 205, Promenade, Blackpool, North West, FY15DL",0.7,Yes
6464,712,"The Royal Hotel, 53 Allan St BlairgowriePerthshire, Perth and Kinross, PH106AB","Milton Royal Hotel, 53, Allan Street, Blairgowrie, , United Kingdom, Perth and Kinross, PH106AB",0.7429,yes
6754,5435,"Travelodge Bolton Central River Street, River Street Bolton, North West, BL21BX","Travelodge, River Street, Bolton, North West, BL21BX",0.7946,yes
6814,7601,"The Borrowdale Hotel, Borrowdale KeswickCumbria, Cumberland, North West, CA125UY","The Borrowdale hotel, Borrowdale, Cumberland, North West, CA125UY",0.7,yes
6825,6629,"The Langstrath Country Inn, Stonethwaite Borrowdale ValleyKeswick, Cumberland, North West, CA125XG","The Langstrath Inn, Stonethwaite, Cumberland, North West, CA125XG",0.6667,yes
7022,6861,"The Orchid Hotel, 34 Gervis Road Bournemouth, Bournemouth, Christchurch and Poole, South West, BH13DH","The Orchid Hotel, 34, Gervis Road, Bournemouth, Christchurch and Poole, South West, BH13DH",0.7,yes
7033,10579,"Brooklands, 1 Kerley Rd West Cliff Bournemouth Dorset, Bournemouth, Christchurch and Poole, South West, BH25DW","Brooklands, 1, Kerley Road, Bournemouth, Christchurch and Poole, South West, BH25DW",0.67,yes
7034,6087,"Glendevon Hotel, 85-89 West Hill Road Bournemouth Dorset, Bournemouth, Christchurch and Poole, South West, BH25PQ","Glendevon Hotel, 85-89, West Hill Road, Bournemouth, Christchurch and Poole, South West, BH25PQ",0.7,yes
7036,6590,"Mount Stuart Hotel, 31 Tregonwell Road Bournemouth, Bournemouth, Christchurch and Poole, South West, BH25NT","Mount Stuart Hotel, 31, Tregonwell Road, Bournemouth, Christchurch and Poole, South West, BH25NT",0.7,yes
7048,6267,"The Green House, 4 Grove Road Bournemouth, Bournemouth, Christchurch and Poole, South West, BH13AS","The Green House, 4, Grove Road, Bournemouth, Christchurch and Poole, South West, BH13AX",0.7,yes
7057,6092,"Blue Palms, 26 Tregonwell Road Bournemouth Dorset, Bournemouth, Christchurch and Poole, South West, BH25NS","The Blue Palms Hotel, 26, Tregonwell Road, Bournemouth, Christchurch and Poole, South West, BH25NS",0.7,yes
7058,6584,"Bonnington Beach Hotel, 44 Tregonwell Rd West Cliff Bournemouth Dorset, Bournemouth, Christchurch and Poole, South West, BH25NT","Bonnington Beach, 44, Tregonwell Road, Bournemouth, Christchurch and Poole, South West, BH25NT",0.6786,yes
7084,6587,"Fairmount Hotel, 15 Priory Road Bournemouth Dorset, Bournemouth, Christchurch and Poole, South West, BH25DF","Hotel Fairmount, 15, Priory Road, Bournemouth, Christchurch and Poole, South West, BH25DF",0.7,yes
7085,6095,"The Hedley Townhouse, 125 West Hill Road Bournemouth Dorset, Bournemouth, Christchurch and Poole, South West, BH25PH","The Hedley Hotel, 125, West Hill Road, Bournemouth, Bournemouth, Christchurch and Poole, South West, BH25PH",0.7,yes
